Institution,Card Name,FYF,AF,WB Pts,Reward Program,Rebate,AF/Rebate,MSR,Spend Pts,cpp,% Return,$ Return
Amex,Aeroplan,False,120.0,40000,Aeroplan,0,-120.0,10000,10000,0.021,9.30%,$930.00
Amex,Aeroplan Business Reserve,False,599.0,95000,Aeroplan,0,-599.0,27000,27000,0.021,7.27%,"$1,963.00"
Amex,Aeroplan Reserve,False,599.0,90000,Aeroplan,0,-599.0,18000,18000,0.021,9.27%,"$1,669.00"
Amex,Business Edge,False,99.0,45000,Membership Rewards,0,-99.0,5000,5000,0.022,20.02%,"$1,001.00"
Amex,Business Gold,False,199.0,70000,Membership Rewards,0,-199.0,5000,5000,0.022,29.02%,"$1,451.00"
Amex,Business Platinum,False,799.0,120000,Membership Rewards,0,-799.0,15000,15000,0.022,14.47%,"$2,171.00"
Amex,Cobalt,False,156.0,15000,Membership Rewards,0,-156.0,9000,9000,0.022,4.13%,$372.00
Amex,Gold,False,250.0,60000,Membership Rewards,0,-250.0,12000,12000,0.022,11.12%,"$1,334.00"
Amex,Green,False,0.0,10000,Membership Rewards,0,0.0,1000,1000,0.022,24.20%,$242.00
Amex,Marriott Bonvoy,False,120.0,50000,Marriott Bonvoy,0,-120.0,1500,1500,0.008,19.47%,$292.00
Amex,Marriott Bonvoy Business,False,150.0,50000,Marriott Bonvoy,0,-150.0,1500,1500,0.008,17.47%,$262.00
Amex,Platinum,False,799.0,100000,Membership Rewards,0,-799.0,10000,10000,0.022,16.21%,"$1,621.00"
Amex,Simplycash,False,0.0,100,Cash Back,0,0.0,3000,3000,1.0,3.33%,$100.00
Amex,Simplycash Preferred,False,119.88,400,Cash Back,0,-119.88,4000,4000,1.0,7.00%,$280.12
BMO,Air Miles,False,0.0,800,Air Miles,0,0.0,1000,1000,0.01053,1.90%,$18.95
BMO,Air Miles No-Fee Business,False,0.0,1000,Air Miles,0,0.0,3000,3000,0.01053,1.40%,$42.12
BMO,Air Miles World Elite,True,120.0,2000,Air Miles,0,0.0,3000,3000,0.01053,1.75%,$52.65
BMO,Air Miles World Elite Business,True,149.0,3000,Air Miles,0,0.0,5000,5000,0.01053,1.68%,$84.24
BMO,Ascend World Elite,True,150.0,60000,Bmo Rewards,0,0.0,3000,3000,0.0067,14.07%,$422.10
BMO,Cashback,False,0.0,125,Cash Back,0,0.0,2500,2500,1.0,5.00%,$125.00
BMO,Cashback Business,False,0.0,150,Cash Back,0,0.0,1500,1500,1.0,10.00%,$150.00
BMO,Cashback World Elite,True,120.0,250,Cash Back,0,0.0,2500,2500,1.0,10.00%,$250.00
BMO,Eclipse Rise Visa,False,0.0,20000,Bmo Rewards,0,0.0,1500,1500,0.0067,9.60%,$144.05
BMO,Eclipse Visa Infinite,True,120.0,60000,Bmo Rewards,0,0.0,3000,3000,0.0067,14.07%,$422.10
BMO,Eclipse Visa Infinite Privilege,False,499.0,90000,Bmo Rewards,0,-499.0,6000,6000,0.0067,2.40%,$144.20
BMO,World Elite Business,True,120.0,70000,Bmo Rewards,0,0.0,5000,5000,0.0067,10.05%,$502.50
Brim,Air France Klm World Elite Mastercard,False,132.0,60000,Flying Blue Miles,0,-132.0,15000,15000,0.0,-0.88%,$-132.00
Brim,World Elite Mastercard,False,199.0,0,Cash Back,0,-199.0,0,0,1.0,-19900.00%,$-199.00
Others,Canadian Tire Triangle World Elite,False,0.0,0,Canadian Tire Money,0,0.0,0,0,1.0,0.00%,$0.00
CIBC,Aeroplan Visa,False,0.0,10000,Aeroplan,0,0.0,0,0,0.021,21000.00%,$210.00
CIBC,Aeroplan Visa Business,True,180.0,30000,Aeroplan,0,0.0,3000,3000,0.021,23.10%,$693.00
CIBC,Aeroplan Visa Business Plus,True,120.0,30000,Aeroplan,0,0.0,3000,3000,0.021,23.10%,$693.00
CIBC,Aeroplan Visa Infinite,True,139.0,30000,Aeroplan,0,0.0,15000,15000,0.021,6.30%,$945.00
CIBC,Aeroplan Visa Infinite Privilege,False,599.0,90000,Aeroplan,0,-599.0,25000,25000,0.021,7.26%,"$1,816.00"
CIBC,Aventura Gold,True,139.0,40000,Aventura,0,0.0,3000,3000,0.0125,17.92%,$537.50
CIBC,Aventura Visa Business,True,120.0,25000,Aventura,0,0.0,0,0,0.0125,31250.00%,$312.50
CIBC,Aventura Visa Business Plus,True,120.0,25000,Aventura,0,0.0,0,0,0.0125,31250.00%,$312.50
CIBC,Aventura Visa Infinite,True,139.0,40000,Aventura,0,0.0,3000,3000,0.0125,17.92%,$537.50
